"lang"
{ 
	"Language" "thai" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"โจมตีอัตโนมัติ"
		"dac_ability_templar_assassin_meld_Description"							"ติดตัว: หลังจากเทเลพอร์ตไปยังเป้าหมายของเธอ เทมพลาร์แอสซาสซินสร้างความเสียหายเพิ่มเติม {s:damage} หน่วยในการโจมตีครั้งแรกของเธอ และลดเกราะป้องกันของเป้าหมายของเธอ {s:armor_debuff} หน่วยเป็นเวลา {s:armor_debuff_duration} วินาที"
		"dac_ability_templar_assassin_meld_Lore"								"พรสวรรค์ของเจ้าทำให้เจ้านั้นเหมาะเจาะอย่างเฉพาะพิเศษกับสิ่งที่ข้ามีอยู่ในใจเลยล่ะ - <i>เมื่ออเนสซิกซ์มอบข้อเสนองาน</i>"
		
		//VIPER
		"dac_ability_viper_viper_strike"										"ไวเปอร์พ่นพิษ"
		"dac_ability_viper_viper_strike_Description"							"พิษกรดของไวเปอร์สามารถทำให้ศัตรูเคลื่อนที่และโจมตีได้ช้าลง {s:bonus_attack_speed}% พร้อมทั้งรับความเสียหายพิษต่อเนื่อง {s:damage} หน่วย<br><br>ผลที่ทำให้ช้าจะค่อย ๆ น้อยลงเมื่อเวลาผ่านไป"
		"dac_ability_viper_viper_strike_Lore"									"เราไม่ได้ต่างกันมาก... ข้าก็รู้เช่นกันว่าการเป็นทาสมันเป็นอย่างไร - <i>ไควเอท มนุษย์กลจอมอุบาย</i>"

		"dac_ability_viper_nethertoxin"											"พิษแห่งอเวจี"
		"dac_ability_viper_nethertoxin_Description"								"ไวเปอร์พ่นพิษใส่หนึ่งช่อง สร้างความเสียหาย {s:damage} หน่วยต่อวินาทีแก่ยูนิตศัตรูใดก็ตามในช่องดังกล่าว ทำให้ยูนิตนั้นติดราก และปิดการทำงานของโบนัสติดตัว"
		"dac_ability_viper_nethertoxin_Lore"									"ระวังตัวไว้สลาร์ก หากลองดีมาปล้นข้า เจ้าจะได้จบไม่สวยแน่ - <i>เมื่อโอเนียเปิดเผยตัวนักกล้ามรับจ้างของเธอ</i> "

		"dac_ability_viper_corrosive_skin"										"หนังพิษกัดกร่อน"
		"dac_ability_viper_corrosive_skin_Description"							"<i>ปลดล็อคโดยพลังผสานมังกร</i><br>ติดตัว: ไวเปอร์ปล่อยพิษออกมาตามผิวหนัง ซึ่งส่งผลให้มีการบวกทับพิษและลดความเร็วในการโจมตีของศัตรูใดก็ตามที่สร้างความเสียหายแก่ไวเปอร์ลง {s:attack_slow} เป็นเวลา {s:dot_duration} วินาที พิษนี้ยังทำให้ไวเปอร์มีความต้านทานเวทมนตร์เพิ่มขึ้น {s:magic_resistance} หน่วยอีกด้วย"
		"dac_ability_viper_corrosive_skin_Lore"									"คงจะดีหากข้ามีโอกาสคิดค้นวิธีทำเสื้อโค้ทจากเจ้านี่... - <i>คาร์ล ผู้มีความฝันยิ่งใหญ่</i>"

		//LUNA
		"dac_ability_luna_moon_glaive"											"กงจักรแห่งจันทรา"
		"dac_ability_luna_moon_glaive_Description"								"ติดตัว: กงจักรของลูนาชิ่งไปมา {s:bounces} ครั้ง ระหว่างศัตรูหลายตัวที่อยู่ในระยะ {s:range} ช่อง<br><br>กงจักรจะสร้างความเสียหายน้อยลง {s:damage_reduction_percent}% ในการชิ่งแต่ละครั้ง"
		"dac_ability_luna_moon_glaive_Lore"										"ข้าเข้าใจในสิ่งที่เจ้าพูดแค่ประมาณครึ่งนึงได้ แต่ข้าชอบวิธีที่เจ้าโยนอาวุธพวกนั้น - <i>เกร็ก คนค้นคน</i>"

		//DRAGON KNIGHT
		"dac_ability_dragon_knight_breathe_fire"								"พ่นเพลิง"
		"dac_ability_dragon_knight_breathe_fire_Description"					"Unleashes a breath of fire in front of Dragon Knight that burns enemies for {s:damage} damage and reduces the damage their attacks deal by {s:attack_reduction}% for {s:duration} seconds and sets them on fire."
		"dac_ability_dragon_knight_breathe_fire_Lore"							"เดเวียน พรสวรรค์ของเจ้ากำลังสูญเสียไปกับคนที่ไม่แม้แต่ชื่นชมความงดงามของสิ่งที่เจ้าทำ - <i>เมื่อฮอบเกนพยายามดึงตัวนักรบสู่ทีม</i>"

		"dac_ability_dragon_knight_elder_dragon_form"							"ร่างมังกรอาวุโส"
		"dac_ability_dragon_knight_elder_dragon_form_Description"				"<i>ปลดล็อคโดยพลังผสานมังกร</i><br>ติดตัว: เมื่อเริ่มการต่อสู้ ดราก้อนไนต์แปลงร่างเป็นหนึ่งในสามมังกรเฒ่าทรงพลัง เพิ่มความเร็วในการเคลื่อนที่ {s:bonus_movement_speed}% และพลังโจมตี {s:bonus_attack_damage} หน่วย รวมทั้งให้ความสามารถใหม่แก่เขา<br><br>มังกรเขียว:\nการโจมตีสร้างความเสียหาย {s:corrosive_breath_damage} หน่วยต่อวินาทีเป็นเวลา {s:corrosive_breath_duration} วินาที และทำให้เป้าหมายติดพิษ<br><br>มังกรแดง:\nนอกจากพิษแล้ว การโจมตีสร้างความเสียหายแก่ยูนิตศัตรูทั้งหมดที่อยู่ในระยะ {s:splash_radius} ช่องจากเป้าหมายเป็นจำนวน {s:splash_damage_percent}%<br><br>มังกรน้ำเงิน:\nนอกจากพิษแล้ว การโจมตีลดความเร็วการเคลื่อนที่ {s:frost_bonus_movement_speed}% และความเร็วการโจมตี {s:frost_bonus_attack_speed}% แก่ยูนิตศัตรูที่อยู่ในระยะ {s:frost_aoe} ช่องจากเป้าหมายเป็นเวลา {s:frost_duration} วินาที"
		"dac_ability_dragon_knight_elder_dragon_form_Lore"						"คาเด็นพูดเกี่ยวกับเจ้าไว้อย่างดี หวังว่าคำชมเชยของเขานั้นสมน้ำสมเนื้อ - <i>เร็น เพื่อนมังกร</i>"

		//ENCHANTRESS
		"dac_ability_enchantress_natures_attendants"							"ภูตแสงแห่งพฤกษา"
		"dac_ability_enchantress_natures_attendants_Description"				"เอนแชนเทรสเรียกกลุ่มภูตแห่งแสงออกมา {s:wisp_count} ตัว ช่วยรักษาพลังชีวิตให้ฝ่ายเดียวกันทั้งหมดที่อยู่ในระยะ {s:radius} ช่อง<br><br>ฝ่ายเดียวกันได้รับการรักษาพลังชีวิต {s:heal} หน่วยในทุก {s:heal_interval} วินาที มีผล {s:duration} วินาที"
		"dac_ability_enchantress_natures_attendants_Lore"						"นางคงอยู่ในไวท์สไปร์ไม่รอดแม้แต่วันเดียวหรอก แม้-แต่-วัน-เดียว - <i>เมื่อฮอบเกนประเมินคู่ต่อสู้ของเขาต่ำเกินไป</i>"

		//BOUNTY HUNTER
		"dac_ability_bounty_hunter_shuriken_toss"								"ปาดาวกระจาย"
		"dac_ability_bounty_hunter_shuriken_toss_Description"					"เบาน์ตี้ฮันเตอร์ขว้างดาวกระจายอันแสนรุนแรงไปที่ยูนิตศัตรู สร้างความเสียหาย {s:damage} หน่วยและทำให้เป้าหมายติดมินิสตัน"
		"dac_ability_bounty_hunter_shuriken_toss_Lore"							"ตราบใดที่เจ้ามีเงิน จงเชื่อในคนที่ขายความซื่อสัตย์เสมอ - <i>โอเนีย มาพร้อมกับคติอันน่าสงสัย</i>"

		//BATRIDER
		"dac_ability_batrider_sticky_napalm"									"นาปาล์มเหนียวหนืด"
		"dac_ability_batrider_sticky_napalm_Description"						"แบตไรเดอร์ปาน้ำมันเหนียวหนืดที่ติดไฟ ชโลมพื้นที่ในระยะ {s:radius} ช่องจากจุดตกกระทบ น้ำมันจะเพิ่มความเสียหายที่เกิดจากการโจมตีของแบตไรเดอร์ {s:damage} หน่วยต่อการบวกทับ พร้อมทั้งลดความเร็วการเคลื่อนที่และโจมตีของศัตรู {s:movement_speed_pct}% นอกจากนั้น แบตไรเดอร์ระดับ 3 ดาวยังสามารถทำให้ศัตรูติดไฟเป็นเวลา {s:fire_duration} วินาที<br><br>การร่ายสกิลนาปาล์มเหนียวหนืดเพิ่ม สามารถเพิ่มความเสียหายและเปอร์เซ็นต์การลดความเร็วบวกทับกันต่อไปได้ ซ้อนทับกันได้สูงสุด {s:max_stacks} ครั้ง"
		"dac_ability_batrider_sticky_napalm_Lore"								"ข้ารักคนนี้มาก ข้ารักเค้าาาาา - <i>ฮอบเกน ผู้บ้าคลั่งเรื่องเพลิง</i>"

		//DOOM BRINGER
		"dac_ability_doom_bringer_doom"											"พิพากษา"
		"dac_ability_doom_bringer_doom_Description"								"ดูมเรียกคาถาสาปอันทรงพลังซึ่งทำให้ศัตรูไม่สามารถร่ายสกิลและปิดการทำงานของโบนัสติดตัวได้ พร้อมทั้งทำให้ได้รับความเสียหาย {s:damage} หน่วยต่อวินาที<br><br>มีผล {s:duration} วินาที"
		"dac_ability_doom_bringer_doom_Lore"									"ข้าชอบติดต่อธุระกับปีศาจเชิงอุปมาอุปไมยมากกว่า... - <i>เมื่อโอเนียให้ความเห็นเกี่ยวกับพันธมิตรของอเนสซิกซ์</i>"

		//GYROCOPTER
		"dac_ability_gyrocopter_call_down"										"เรียกกระสุน"
		"dac_ability_gyrocopter_call_down_Description"							"ไจโรคอปเตอร์ยิงจรวดมิสไซล์ออกมา โจมตีศัตรูทั้งหมดที่อยู่ในระยะ {s:radius} ช่องจากจุดตกกระทบ<br><br>มิสไซล์จะถูกส่งออกมาสองลูกในเวลาใกล้เคียงกัน ลูกแรกจะสร้างความเสียหาย {s:damage_first} หน่วยและลดความเร็ว {s:slow_first}% เป็นเวลา {s:slow_duration_first} วินาที ส่วนลูกที่สองจะสร้างความเสียหาย {s:damage_second} หน่วยและลดความเร็ว {s:slow_second}% เป็นเวลา {s:slow_duration_second} วินาที"
		"dac_ability_gyrocopter_call_down_Lore"									"ลองคิดดูสิว่าเราจะขนถ่ายสินค้าได้มากขนาดไหนด้วยความช่วยเหลือจากเขา - <i>เมื่อจุลคิดถึงภาพรวม</i>"

		//ALCHEMIST
		"dac_ability_alchemist_acid_spray"										"พ่นกรด"
		"dac_ability_alchemist_acid_spray_Description"							"อัลเคมิสต์พ่นน้ำกรดความดันสูง ส่งผลต่อศัตรูที่อยู่ในระยะ {s:radius} ช่องจากเป้าหมาย<br><br>ยูนิตศัตรูที่เข้าสู่พื้นที่ปนเปี้อนนี้จะได้รับความเสียหาย {s:damage} หน่วยต่อวินาที และถูกลดเกราะป้องกันลง {s:armor_reduction} หน่วย"
		"dac_ability_alchemist_acid_spray_Lore"									"เจ้าชอบเผาหน้าผู้คน ส่วนข้าชอบเผาบ้านเรือนคนอื่น... นี่มันเหมือนกับว่าเราเป็นเนื้อคู่กันเลยทีเดียว - <i>เมื่อฮอบเกนพยายามเชื่อมต่อช่องว่างระหว่างวัฒนธรรม</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"แปลงรูปเปลี่ยนร่าง"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lycan summons {s:summon_count} wolves and transforms and gains {s:hp_per}% to his max health, his move speed is boosted to {s:speed} and gains {s:crit_chance}% chance to Critical Hit for {s:crit_bonus}% Damage."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"ได้โปรด ไลแคน ช่วยข้าล้างแค้นทีเถิด - <i>ในขณะที่เร็นวิงวอนร้องขอต่อมนุษยธรรมของไลแคน</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"อัญเชิญหมีวิญญาณ"
		"dac_ability_lone_druid_summon_bear_Description"						"อัญเชิญหมีวิญญาณคู่หูอันทรงพลัง"
		"dac_ability_lone_druid_summon_bear_Lore"								"แค่เอาหมีให้อยู่ห่าง ๆ ข้าไว้ โอเคไหม? ข้าไม่เล่นกับหมีนะ - <i>เกร็ก ผู้เป็นโรคกลัวหมี</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"กระสุนโกลาหล"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"เคออสไนต์ปล่อยพลังมนตราลึกลับ ซึ่งสร้างความเสียหาย {s:damage_min}-{s:damage_max} หน่วยและสตันเป็นเวลา {s:stun_min}-{s:stun_max} วินาที"
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"ไวท์สไปร์อาจเป็นสถานที่ดีขึ้นหากมีความโกลาหลสักเล็กน้อย - <i>ฮอบเกน ตัวแทนแห่งความโกลาหล</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"ตัณหาโลหิต"
		"dac_ability_ogre_magi_bloodlust_Description"							"โอเกอร์เมไจกระตุ้นความบ้าคลั่งของยูนิตฝ่ายเดียวกัน เพิ่มความเร็วในการเคลื่อนที่ {s:bonus_movement_speed}% และความเร็วในการโจมตี {s:bonus_attack_speed}% หากร่ายใส่โอเกอร์เมไจเอง โบนัสความเร็วในการโจมตีจะเป็น {s:self_bonus}% แทน โอเกอร์เมไจมีโอกาส {s:multicast_chance}% ที่จะร่ายสกิลนี้ติดต่อกันหลายครั้งให้กับเป้าหมาย 2 ตัว"
		"dac_ability_ogre_magi_bloodlust_Lore"									"เมไจนี้มีมูลค่าสองเท่าของที่เขาคิด และเป็นเรื่องโชคดีที่เมไจนี้โง่เง่าด้วยเช่นกัน - <i>โอเนีย นักล่าจอมต่อรอง</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"เสริมพลัง"
		"dac_ability_magnataur_empower_Description"								"แมกนัสทำให้ยูนิตเพื่อนร่วมทีมเกรี้ยวกราด เพิ่มพลังโจมตี +{s:bonus_damage_pct}% และกระจายความเสียหาย {s:cleave_damage_pct}% เป็นเวลา {s:duration} วินาที"
		"dac_ability_magnataur_empower_Lore"									"ปล่อยให้อเนสซิกซ์คิดว่าเธอสามารถเล่นเอ็นโนได้ต่อไปเถอะ เธอจะรู้ในภายหลังว่าเธอคิดผิดพลาดขนาดไหนในไม่กี่วินาทีก่อนที่จะถูกกระทืบตาย - <i>เมื่อฮอบเกนแสดงความอดทนเล็กน้อยอันหายาก</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"เมล็ดสูบชีวิต"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector plants a life-sapping seed in an enemy unit, draining its health by {s:leech_damage} every {s:damage_interval} seconds, while simultaneously slowing its attack and movement speed by {s:movement_slow}%.<br><br>The seed heals friendly units up to {s:radius} cell away from the target, and at 3 stars gives them +{s:bonus_armor} Armor. Lasts {s:duration} seconds. Jumps to a new target within {s:radius} cell if the current target dies."
		"dac_ability_treant_leech_seed_Lore"									"ข้าบอกความจริงเลยนะ ข้าไม่คิดว่าเอ็นโนจะขอความช่วยเหลือจากต้นไม้ - <i>ในขณะที่จุลและอเนสซิกซ์ดื่มร่วมกัน</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"ส่องสว่าง"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"คีปเปอร์ออฟเดอะไลต์ยืนร่ายมนต์ สร้างพลังงานแสงซึ่งจะมีพลังมากขึ้นตามระยะเวลาที่ใช้ยืนร่าย เมื่อปล่อยออกไป คลื่นแสงจะสร้างความเสียหาย {s:damage_per_second} หน่วยต่อวินาทีที่ยืนร่าย"
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"คีปเปอร์ครอบครองอำนาจมากเกินกว่าที่ควร หากไม่ขัดขวาง มันจะทำให้เราทุกคนจบสิ้นได้ - <i>ทูราธ ผู้ทำลายแสง</i> "

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"เหลือบศิลา"
		"dac_ability_medusa_stone_gaze_Description"								"ยูนิตศัตรูใดก็ตามที่อยู่ในระยะ {s:radius} ช่องซึ่งจ้องมองเมดูซาจะถูกลดความเร็วในการเคลื่อนที่และการโจมตี {s:slow}%<br><br>ถ้าจ้องมองเมดูซาจนเวลาสะสมครบ {s:face_duration} วินาทีแล้ว ยูนิตดังกล่าวจะถูกสาปกลายเป็นหิน<br><br>ยูนิตที่เป็นหินจะถูกสตัน และได้รับความเสียหายกายภาพเพิ่มขึ้น {s:bonus_physical_damage}%"
		"dac_ability_medusa_stone_gaze_Lore"									"นางเป็นสาวตรงตามสเปกข้าเลย แต่ข้าก็มีใจให้มีเรสกาเท่านั้น - <i>ฮอบเกน จอมโจรใจง่าย</i>"

		"dac_ability_medusa_split_shot"											"มนตร์แยกลูกศร"
		"dac_ability_medusa_split_shot_Description"								"ติดตัว: เมดูซาใช้เวทมนตร์ยิงลูกศรเพิ่มเติม {s:extra_shots} ดอก โจมตีเป้าหมายเพิ่มเติมที่อยู่ในระยะ {s:range} ช่องจากเป้าหมายหลักของเธอ ลูกศรเพิ่มเติมเหล่านี้จะสร้างความเสียหาย {s:damage_modifier} เปอร์เซ็นต์ของความเสียหายลูกศรหลักของเธอ"
		"dac_ability_medusa_split_shot_Lore"									"เจ้าเคยเห็นนางคนนั้นยิงธนูไหม? คือ ถ้าเจ้ายังหายใจอยู่ ก็คงยังไม่เคย... - <i>เมื่อเกร็กคุยยกยอนักรบรับจ้างคนล่าสุดของเขา</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"รุ่มร้อน"
		"dac_ability_troll_warlord_fervor_Description"							"ติดตัว: โทรลวอร์ลอร์ดระดมปาขวานแล้วขวานเล่า ได้รับความเร็วในการโจมตีเพิ่มขึ้น {s:attack_speed}% ในแต่ละครั้งที่โจมตีซึ่งจะบวกทับขึ้นไปเรื่อย ๆ<br><br>หากโทรลเปลี่ยนเป้าหมาย การบวกทับจะกลับเป็นศูนย์<br><br>ผลของสกิลนี้สามารถบวกทับได้สูงสุด {s:max_stacks} ครั้งเท่านั้น"
		"dac_ability_troll_warlord_fervor_Lore"									"ไร้ปรานีและมีประสิทธิภาพ เหมือนกับข้า - <i>ไควเอท ความพยายามไม่สูญเปล่า</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"พลังลบล้างปีศาจ"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Repeatedly purges the target enemy unit, removing positive buffs, applying Break, and slowing the target for {s:duration} seconds. The unit slowly regains its movement/attack speed until the end of the duration, upon which {s:damage} damage is dealt. At 3 stars, the unit loses {s:health_pct}% of its current health at the start, and gains half that back after the purge finishes if it survives."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"ฟังนะเจ้าตัวขนปุยนรก ข้ารู้ว่าเจ้าคิดว่าเจ้าเหมาะกับอเนสซิกซ์ แต่เจ้าเคยเห็นพวกสิ่งมีชีวิตที่เธอหลั่นล้าด้วยไหม? - <i>ฮอบเกน ไม่ใช่แฟนคลับปีศาจ (หรือเอ็นโน)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"ยอดพลังกวาด "
		"dac_ability_sven_cleave_Description"									"ติดตัว: การโจมตีระยะประชิดของยูนิตนี้จะกระจายไปยังศัตรูใกล้เคียงเป็นจำนวน {s:cleave_damage_pct}%"
		"dac_ability_sven_cleave_Lore"											"เจ้าเคยเห็นอัศวินแห่งวิจิลทำตามหน้าที่ไหม? มันงดงามมากเลยน่ะ - <i>เกร็ก ผู้ชำนาญการสู้รบ</i>"

		"dac_ability_sven_gods_strength"										"เทพานุภาพ"
		"dac_ability_sven_gods_strength_Description"							"สเวนคลุ้มคลั่งและได้รับพลังโจมตี {s:bonus_damage_from_cast}% เป็นเวลา {s:duration} วินาที"
		"dac_ability_sven_gods_strength_Lore"									"ไม่มีอะไรที่ข้ารักไปมากกว่าชายผู้จองล้างจองผลาญที่ทำการล้างแค้นอีกแล้ว - <i>เมื่ออเนสซิกซ์พิเคราะห์สเวน</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"มีดหมุนมรณะ"
		"dac_ability_timbersaw_whirling_death_Description"						"ใบมีดอันคมกริบของชุดเกราะทิมเบอร์ซอว์ทำการปั่นรอบตัว สร้างความเสียหาย {s:damage} หน่วยแก่ศัตรูที่อยู่ในระยะ {s:radius} ช่อง"
		"dac_ability_timbersaw_whirling_death_Lore"								"ข้ารู้ว่าเอ็นโนต้องเรียกขอความช่วยเหลือจากเพื่อนแห่งพงไพรของเขาทั้งหมด ข้าก็เลยเรียกของข้าบ้าง - <i>เมื่อฮอบเกนพยายามแก้ไขปัญหา</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"หมัดวอลรัส!"
		"dac_ability_tusk_walrus_punch_Description"								"ทัสก์ชกหมัดวอลรัสอันทรงพลังของเขา การชกจะติดคริติคอลสร้างความเสียหาย {s:critical_damage}% และส่งเหยื่อขึ้นสู่อากาศเป็นเวลา {s:air_time} วินาที เมื่อตกสู่พื้น เหยื่อจะถูกลดความเร็ว {s:move_slow}% เป็นเวลา {s:slow_duration} วินาที และสูญเสียความเร็วในการโจมตี {s:attack_slow} หน่วย ขณะชก ทัสก์จะไม่สามารถถูกสังหารได้"
		"dac_ability_tusk_walrus_punch_Lore"									"เขาเคยเป็นเพื่อนข้ามาก่อน เราจะได้รู้ว่าเขามาเพื่อช่วยข้าหรือต่อยข้าในไม่ช้านี้ - <i>จุลหวนคิดถึงวัยเยาว์ของเขา</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"โล่ไร้แสง"
		"dac_ability_abaddon_aphotic_shield_Description"						"อาบัดโดนปกป้องยูนิตฝ่ายเดียวกันด้วยโล่ป้องกันที่ดูดซับความเสียหาย {s:damage_absorb} หน่วยเป็นเวลา {s:duration} วินาที<br><br>เมื่อโล่ถูกทำลาย มันจะระเบิดและสร้างความเสียหาย {s:damage_absorb} หน่วยแก่ศัตรูที่อยู่ในระยะ {s:radius} ช่อง<br><br>ชำระล้างบัฟด้านลบและอาการสตันบางชนิดให้กับยูนิตที่ถูกร่ายใส่"
		"dac_ability_abaddon_aphotic_shield_Lore"								"ข้ามีความเคารพต่อตระกูลอเวอร์นัสเป็นอย่างยิ่ง - <i>เมื่อโอเนียทำการอ้อนวอน</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"เมตามอร์โฟซิส"
		"dac_ability_terrorblade_metamorph_Description"							"เทเรอร์เบลดแปลงร่างเป็นปีศาจที่ทรงพลังโดยสามารถโจมตีระยะไกลได้ {s:bonus_attack_range} ช่องพร้อมกับเพิ่มพลังโจมตี {s:bonus_attack_damage} หน่วยและความเร็วในการโจมตี {s:bonus_attack_speed} หน่วย นอกจากนี้ เทเรอร์เบลดแลกเปลี่ยนค่าพลังชีวิตกับฝ่ายเดียวกันตัวอื่นเมื่อเริ่มใช้สกิลนี้"
		"dac_ability_terrorblade_metamorph_Lore"								"เมื่อเห็นเจ้านั่นคุยกับอเนสซิกซ์แล้วละก็ รู้ได้เลยว่าจะต้องมีเรื่องแย่ ๆ เกิดขึ้น - <i>จุล ผู้จับตามองคน</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"ระเบิดรีโมต"
		"dac_ability_techies_bomb_Description"									"ชาวแก๊งวางระเบิดซึ่งจะระเบิดหลังจากผ่านไป {s:explode_time} วินาที และสร้างความเสียหาย {s:damage} หน่วยแก่เป้าหมายที่อยู่ในระยะ {s:range} ช่อง<br><br>สร้างความเสียหายครึ่งเดียวแก่ศัตรูที่อยู่ห่างออกไปครึ่งหนึ่งของระยะทางสูงสุด"
		"dac_ability_techies_bomb_Lore"											"เจ้าจะบ่นอะไรเกี่ยวกับคีนก็บ่นไป แต่พวกมันทำให้หัวเราะได้เสมอ - <i>เมื่อฮอบเกนชมการแสดงระเบิดทำลาย</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"มรสุมสถิต"
		"dac_ability_disruptor_static_storm_Description"						"ดิสรัปเตอร์สร้างพายุอัสนีออกมาสร้างความเสียหาย ซึ่งจะทำให้ยูนิตศัตรูทุกตัวที่อยู่ในระยะ {s:radius} ช่องจากจุดศูนย์กลางเป็นใบ้ ในระยะเวลา {s:duration} วินาที<br><br>ความเสียหายจะเริ่มจากเบา ๆ แต่จะรุนแรงขึ้นเรื่อย ๆ สร้างความเสียหายรวมทั้งหมด {s:damage_total} หน่วยตลอดระยะเวลาของพายุ"
		"dac_ability_disruptor_static_storm_Lore"								"ข้าไม่แน่ใจว่าเขามาที่นี่เพื่อมาช่วยข้าจริง ๆ หรือแค่จะมาจับตามองแอกซ์กันแน่ - <i>เร็น กัปตันแห่งพลมอตลีย์</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"ล้างบาป"
		"dac_ability_omniknight_purification_Description"						"ออมนิไนต์รักษาพลังชีวิตให้กับยูนิตฝ่ายเดียวกัน {s:heal} หน่วยในทันที และสร้างความเสียหายกับศัตรูทั้งหมดที่อยู่ในระยะ {s:radius} ช่อง"
		"dac_ability_omniknight_purification_Lore"								"เขาถือความศรัทธาเป็นอาวุธ... เช่นเดียวกันข้า - <i>ทูราธ ผู้ไถ่บาปหลงผิด</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"ตะขอเกี่ยวเนื้อ"
		"dac_ability_pudge_meathook_Description"								"พัดจ์เขวี้ยงตะขอโชกเลือดไปทางศัตรูที่อยู่ไกลที่สุดจากเขา ลากเหยื่อมาหาและสร้างความเสียหาย {s:damage} หน่วย<br><br>พัดจ์และฝ่ายเดียวกันที่อยู่ในระยะ 1 ช่องจะรุมโจมตีเหยื่อจนกว่ามันจะตาย"
		"dac_ability_pudge_meathook_Lore"										"พัดจ์น่ะเหรอ? อ๋อ เขาก็แค่บวมนิดหน่อยน่ะ เจอก็ทักทายกันเสมอโดยเฉพาะตอนข้าอาบแดด - <i>คาร์ล ช่างตัดเสื้อผีดิบ</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"คาถาแห่งเงา"
		"dac_ability_warlock_shadow_word_Description"							"วอร์ล็อกร่ายคาถาที่ฟื้นฟูพลังชีวิตให้กับยูนิตฝ่ายเดียวกัน {s:burst_tooltip} หน่วยในทันทีและ {s:hot_tooltip} หน่วยต่อวินาทีตลอดช่วงเวลา {s:duration} วินาที หรือสร้างความเสียหายให้กับยูนิตศัตรู {s:damage_tick} หน่วยในแต่ละวินาทีเป็นเวลา {s:duration} วินาที"
		"dac_ability_warlock_shadow_word_Lore"									"ความลับบางอย่างควรคงรักษาไว้... เดมน็อกจะต้องชดใช้ให้กับความไร้ดุลยพินิจของเขา - <i>อเนสซิกซ์ เฝ้ารอเวลา</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"คลั่งโลหิต"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIVE: As Bloodseeker's enemy's health drops, he gains attack speed, up to a maximum of {s:attack_speed_bonus_max} at {s:min_health_pct}% health.<br><br>Whenever Bloodseeker kills a target, he regains {s:heal_pct}% of their max health. At 3 stars, this occurs when any enemy dies within {s:radius} cell of Bloodseeker."
		"dac_ability_bloodseeker_blood_rage_Lore"								"ถ้าจะให้บอกสิ่งหนึ่งที่ข้าเรียนรู้จากอาชีพของข้า ก็บอกได้เลยว่าผู้คนชอบเลือดสาด จ้างคนนี้เถอะ  - <i>เกร็ก โปรโมเตอร์อันเฉียบขาด</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"ร่างมรสุมคู่"
		"dac_ability_arc_warden_tempest_double_Description"						"อาร์กวอร์เดนสร้างร่างโคลนสมบูรณ์แบบของเขาเองโดยมีพลังชีวิตเท่าเดิมที่มีอยู่ตอนนี้<br><br>ร่างโคลนสามารถใช้ไอเท็มปัจจุบันของอาร์กวอร์เดนได้ทั้งหมด และจะพยายามโจมตีศัตรูตัวเดียวกันกับผู้อัญเชิญ ร่างโคลนจะไม่สามารถสร้างร่างโคลนได้ และสร้างความเสียหายได้น้อยลง {s:clone_dmg_reduction}%"
		"dac_ability_arc_warden_tempest_double_Lore"							"ที่เขานำพามาคือความลึกลับของการสรรค์สร้าง - <i>ทูราธ นักพยากรณ์วลีซ้อนเร้น</i>"
		
		//ARC WARDEN
