"lang"
{ 
	"Language" "hungarian" 
	"Tokens" 
	{
		"dac_ability_autoattack"												"Automatikus támadás"
		"dac_ability_alchemist_acid_spray_Description"							"Alkimista nagy nyomású savat permetez, ami a célponttól {s:radius} mezőn belüli összes ellenségre hat.<br><br>A szennyezett területre lépő ellenséges egységek másodpercenként {s:damage} sebzést szenvednek, páncéljuk pedig {s:armor_reduction} ponttal csökken."
		"dac_ability_alchemist_acid_spray_Lore"									"Te emberek arcát szereted leégetni, én meg emberek otthonát szeretem felégetni... Egymásnak teremtettünk. - <i>Hobgen, áthidalva egy kulturális szakadékot</i>"

		// Lycan
		"dac_ability_lycan_wolf_spawn_shift"									"Alakváltás"
		"dac_ability_lycan_wolf_spawn_shift_Description"						"Lycan summons {s:summon_count} wolves and transforms and gains {s:hp_per}% to his max health, his move speed is boosted to {s:speed} and gains {s:crit_chance}% chance to Critical Hit for {s:crit_bonus}% Damage."
		"dac_ability_lycan_wolf_spawn_shift_Lore"								"Kérlek, Likantróp, segíts bosszút állnom. - <i>Wren, Likantróp emberségére apellálva</i>"
		
		// LONE DRUID
		"dac_ability_lone_druid_summon_bear"									"Lélekmedve idézése"
		"dac_ability_lone_druid_summon_bear_Description"						"Megidéz egy erős lélekmedve társat."
		"dac_ability_lone_druid_summon_bear_Lore"								"Csak tartsd tőlem távol a medvét, jó? Medvékkel nem kezdek. - <i>Grek, a medveiszonyos</i>"
		

		//CHAOS KNIGHT
		"dac_ability_chaos_knight_chaos_bolt"									"Káoszlövedék"
		"dac_ability_chaos_knight_chaos_bolt_Description"						"Káoszlovag misztikus energialövedéket lő ki, amely {s:damage_min}-{s:damage_max} sebzést és {s:stun_min}-{s:stun_max} másodperces bénítást okoz."
		"dac_ability_chaos_knight_chaos_bolt_Lore"								"Ráférne Fehér Toronyra egy kis káosz. - <i>Hobgen, a káosz ügynöke</i>"

		//OGRE MAGI
		"dac_ability_ogre_magi_bloodlust"										"Vérszomj"
		"dac_ability_ogre_magi_bloodlust_Description"							"Ogre Mágus dühöngésre késztet egy baráti egységet, {s:bonus_movement_speed}%-kal növelve mozgási, és {s:bonus_attack_speed}%-kal támadási sebességét. Ha Ogre Mágus magára varázsolja, a támadási sebességbónusz {s:self_bonus}% lesz. Ogre Mágusnak {s:multicast_chance}% esélye van e képességet egyszerre 2 célpontra varázsolni."
		"dac_ability_ogre_magi_bloodlust_Lore"									"A Mágus kétszer annyit megér, mint amennyit felszámít. Ugyanakkor, a Mágus szerencsére egy idióta. - <i>O'ina, a potyaleső</i>"

		// MAGNUS
		"dac_ability_magnataur_empower"											"Buzdítás"
		"dac_ability_magnataur_empower_Description"								"Magnus felbőszít egy baráti egységet, {s:bonus_damage_pct}% többletsebzést és {s:cleave_damage_pct}% területi támadást adva neki {s:duration} másodpercre."
		"dac_ability_magnataur_empower_Lore"									"Hadd higgye Anessix, hogy rászedheti Ennót. Majd rájön, mekkorát tévedett, néhány másodperccel azelőtt, hogy agyontapossák. - <i>Hobgen, egy szokatlanul türelmes pillanatában</i>"

		//TREANT PROTECTOR
		"dac_ability_treant_leech_seed"											"Szipolyozó mag"
		"dac_ability_treant_leech_seed_Description"								"Treant Protector plants a life-sapping seed in an enemy unit, draining its health by {s:leech_damage} every {s:damage_interval} seconds, while simultaneously slowing its attack and movement speed by {s:movement_slow}%.<br><br>The seed heals friendly units up to {s:radius} cell away from the target, and at 3 stars gives them +{s:bonus_armor} Armor. Lasts {s:duration} seconds. Jumps to a new target within {s:radius} cell if the current target dies."
		"dac_ability_treant_leech_seed_Lore"									"Nem fogok hazudni; nem számítottam rá, hogy Enno egy fától fog segítséget kapni. - <i>Jull és Anessix egy ital fölött</i>"

		//KEEPER OF THE LIGHT
		"dac_ability_keeper_of_the_light_illuminate"							"Megvilágosulás"
		"dac_ability_keeper_of_the_light_illuminate_Description"				"A Fény Őrzője energiát gyűjt, ami annál erősebb lesz, minél tovább van fenntartva. Kibocsátáskor energiahullám indul el, amely a fenntartási idő minden másodperce után {s:damage_per_second} sebzést okoz."
		"dac_ability_keeper_of_the_light_illuminate_Lore"						"Az Őrző erősebb, mint amilyennek mutatja magát; ha nem tartjuk kordában, ő lesz mindannyiunk veszte. - <i>Turath, a Fénypusztító</i>"

		// MEDUSA
		"dac_ability_medusa_stone_gaze"											"Kővé dermesztő tekintet"
		"dac_ability_medusa_stone_gaze_Description"								"A Meduszától {s:radius} mezőn belül levő bármely rá néző ellenséges egység mozgási és támadási sebessége {s:slow}%-kal csökken.<br><br>Ha összesen {s:face_duration} másodpercen át nézett Meduszára, az egység kővé válik.<br><br>A kővé vált egységek megbénulnak, és {s:bonus_physical_damage}% fizikai többletsebzést szenvednek."
		"dac_ability_medusa_stone_gaze_Lore"									"Kedvemre való hölgy, de az én szívem csak Mireskáért repes. - <i>Hobgen, a szerelmes bűnöző</i>"

		"dac_ability_medusa_split_shot"											"Széthasított nyíl"
		"dac_ability_medusa_split_shot_Description"								"PASSZÍV: Medusza legfeljebb további {s:extra_shots} mágikus nyilat lő ki, további célpontokat találva el elsődleges célpontjától {s:range} mezőn belül. A plusz nyilak az elsődleges nyíl sebzésének {s:damage_modifier}%-át okozzák."
		"dac_ability_medusa_split_shot_Lore"									"Láttad már ezt a hölgyet íjjal lőni? Mivel még élsz, valószínűleg nem... - <i>Grek, legújabb toborzását magasztalva</i>"

		// TROLL WARLORD
		"dac_ability_troll_warlord_fervor"										"Buzgalom"
		"dac_ability_troll_warlord_fervor_Description"							"PASSZÍV: Troll Hadúr csapásai csak úgy záporoznak, minden összeadódással {s:attack_speed}% támadási sebességbónuszt kapva.<br><br>Ha Troll Hadúr célpontot vált, az összeadódások száma nullázódik.<br><br>A hatás legfeljebb {s:max_stacks} alkalommal adódhat össze."
		"dac_ability_troll_warlord_fervor_Lore"									"Hatékony és könyörtelen... Akár csak én. - <i>Csöndes, a hathatós</i>"


		// SHADOW_DEMON
		"dac_ability_shadow_demon_demonic_purge"								"Démoni megtisztítás"
		"dac_ability_shadow_demon_demonic_purge_Description"					"Repeatedly purges the target enemy unit, removing positive buffs, applying Break, and slowing the target for {s:duration} seconds. The unit slowly regains its movement/attack speed until the end of the duration, upon which {s:damage} damage is dealt. At 3 stars, the unit loses {s:health_pct}% of its current health at the start, and gains half that back after the purge finishes if it survives."
		"dac_ability_shadow_demon_demonic_purge_Lore"							"Na ide hallgass, te szőrös rohadék, tudom, azt hiszed, összedolgozhatsz Anessixszel, de láttad már, miféle alakokkal szűri össze a levet? - <i>Hobgen, aki nem rajong a démonokért (se Ennóért)</i>"

		// SVEN
		"dac_ability_sven_cleave"												"Nagy suhintás"
		"dac_ability_sven_cleave_Description"									"PASSZÍV: ennek az egységnek a közelharci támadásai {s:cleave_damage_pct}%-os sebzéssel eltalálják a közeli ellenségeket."
		"dac_ability_sven_cleave_Lore"											"Láttál már belelendült Virrasztó Lovagot? Gyönyörű. - <i>Grek, a csataínyenc</i>"

		"dac_ability_sven_gods_strength"										"Isten ereje"
		"dac_ability_sven_gods_strength_Description"							"Sven felbőszül és {s:duration} másodpercre {s:bonus_damage_from_cast}% sebzést kap."
		"dac_ability_sven_gods_strength_Lore"									"Semmit sem szeretek jobban egy bosszúra éhes embernél. - <i>Anessix, végigmérve Svent</i>"

		// SHREDDER
		"dac_ability_timbersaw_whirling_death"									"Örvénylő halál"
		"dac_ability_timbersaw_whirling_death_Description"						"Fanyüvő páncélöltözékének éles fogai felpörögnek, {s:radius} mezőn belül {s:damage} sebzést okozva az ellenségeknek."
		"dac_ability_timbersaw_whirling_death_Lore"								"Ha már Enno bevonta minden erdei barátját, én is szóltam néhánynak az enyémek közül. - <i>Hobgen, problémamegoldásba kezdve</i>"

		//TUSK
		"dac_ability_tusk_walrus_punch"											"Rozmár ÜTÉS!"
		"dac_ability_tusk_walrus_punch_Description"								"Agyaras beviszi nagy erejű rozmárütését, egy kritikus találatot, amely {s:critical_damage}% sebzést okoz és {s:air_time} másodpercre a levegőbe repíti az áldozatát. Földet érve az áldozat {s:slow_duration} másodpercre {s:move_slow}%-kal lassul és {s:attack_slow} támadási sebességet veszít. Ütés közben Agyarast nem lehet megölni."
		"dac_ability_tusk_walrus_punch_Lore"									"Valaha a barátom volt. Hamarosan meglátjuk, segíteni jött-e, vagy azért, hogy lecsapjon. - <i>Jull, az ifjúkorán töprengve</i>"
		
		
		//ABADDON
		"dac_ability_abaddon_aphotic_shield"									"Fénytelen pajzs"
		"dac_ability_abaddon_aphotic_shield_Description"						"Abaddon olyan pajzzsal véd egy baráti egységet, amely {s:duration} másodpercen át elnyel {s:damage_absorb} sebzést.<br><br>Amikor a pajzs megsemmisül, energiakitörést okozva {s:radius} mezőn belül {s:damage_absorb} sebzést okoz az ellenségeknek.<br><br>Varázsláskor eltávolít bizonyos fajta gyengítéseket és bénításokat."
		"dac_ability_abaddon_aphotic_shield_Lore"								"Nagy tisztelettel adózom az Avernus-háznak. - <i>O'nia, szívességért kuncsorogva</i>"

		// TERRORBLADE
		"dac_ability_terrorblade_metamorph"										"Metamorfózis"
		"dac_ability_terrorblade_metamorph_Description"							"Rémpenge erős démonná változik, {s:bonus_attack_range} mező harctávú távolsági támadást, valamint {s:bonus_attack_damage} többletsebzést és {s:bonus_attack_speed} támadási sebességbónuszt kapva. Ezen felül Rémpenge e képesség kezdetén elcseréli életerő-értékét egy szövetségesével."
		"dac_ability_terrorblade_metamorph_Lore"								"Amikor Anessixszel látod beszélgetni azt az alakot, tudod, hogy valami rossz fog történni. - <i>Jull, a jó megfigyelő</i>"

		// TECHIES
		"dac_ability_techies_bomb" 												"Távvezérelt akna"
		"dac_ability_techies_bomb_Description"									"A csapat robbanóanyagot telepít, amely {s:explode_time} másodperc után felrobbanva {s:range} mező nagyságú területen {s:damage} sebzést okoz.<br><br>A maximális távolság felére levő ellenségeken fele annyit sebez."
		"dac_ability_techies_bomb_Lore"											"Mondhatsz a buzgókról, amit akarsz, de mindig megnevettetik az embert. - <i>Hobgen, egy robbantási bemutatót nézve</i>"

		//DISRUPTOR
		"dac_ability_disruptor_static_storm"									"Elektrosztatikus vihar"
		"dac_ability_disruptor_static_storm_Description"						"Megbontó sebzést okozó elektromos vihart hoz létre, amely a középpontjától {s:radius} mezőn belül {s:duration} másodpercre elhallgattat minden ellenséges egységet.<br><br>A sebzés kezdetben gyenge, de a vihar időtartama alatt erősödik, összesen {s:damage_total} sebzést okozva a vihar időtartama alatt."
		"dac_ability_disruptor_static_storm_Lore"								"Nem vagyok biztos benne, tényleg nekem segíteni jött-e, vagy csak Fejszést akarja szemmel tartani. - <i>Wren, egy díszes kompánia vezére</i>"

		//OMNIKNIGHT
		"dac_ability_omniknight_purification"									"Megtisztítás"
		"dac_ability_omniknight_purification_Description"						"A Mindenség Lovagja azonnal {s:heal} ponttal gyógyít egy baráti egységet, és {s:radius} mezőn belül ugyanannyival sebez minden ellenséges egységet."
		"dac_ability_omniknight_purification_Lore"								"A hitet forgatja fegyverként... Ahogy én is. - <i>Turath, a téveszmés megváltó</i>"
		
		//PUDGE
		"dac_ability_pudge_meathook"											"Húskampó"
		"dac_ability_pudge_meathook_Description"								"Puhos egy véres kampót hajít legtávolabbi ellensége felé, magához húzva az áldozatot és {s:damage} sebzést okozva.<br><br>Puhos és az 1 mezőn belüli szövetségesei ezt az áldozatot fogják támadni, míg az meg nem hal."
		"dac_ability_pudge_meathook_Lore"										"Puhos? Ó, remek fickó az. Mindig beköszön, amikor épp hullákat barnítok. - <i>Carl, élőholt szabó</i>"
		
		//WARLOCK
		"dac_ability_warlock_shadow_word"										"Árnyszó"
		"dac_ability_warlock_shadow_word_Description"							"Átokkovács ráolvasást suttogva azonnal helyreállt {s:burst_tooltip} életerőt egy baráti egységen, majd {s:duration} másodpercen át másodpercenként további {s:hot_tooltip} életerőt, vagy másodpercenként {s:damage_tick} sebzést okoz egy ellenséges egységnek {s:duration} másodpercen át."
		"dac_ability_warlock_shadow_word_Lore"									"Bizonyos titkokat nem szokás kifecsegni. Demnok fizetni fog az indiszkréciójáért. - <i>Anessix, az időt húzva</i>"
		
		//BLOODSEEKER
		"dac_ability_bloodseeker_blood_rage"									"Vérdüh"
		"dac_ability_bloodseeker_blood_rage_Description"						"PASSIVE: As Bloodseeker's enemy's health drops, he gains attack speed, up to a maximum of {s:attack_speed_bonus_max} at {s:min_health_pct}% health.<br><br>Whenever Bloodseeker kills a target, he regains {s:heal_pct}% of their max health. At 3 stars, this occurs when any enemy dies within {s:radius} cell of Bloodseeker."
		"dac_ability_bloodseeker_blood_rage_Lore"								"Ha bármit is tanultam pályafutásom során, az az, hogy a népek szeretik a vért. Vegyétek fel ezt az alakot. - <i>Grek, a határozott szponzor</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double"									"Viharmás"
		"dac_ability_arc_warden_tempest_double_Description"						"Égi Börtönőr másolatot hoz létre magából, annyi életerővel, amennyivel éppen rendelkezik.<br><br>A másolat használni tudja Égi Börtönőr összes jelenlegi tárgyát, és megpróbálja ugyanazt az ellenséget támadni, mint megidézője. A klónok nem tudnak klónokat létrehozni, és {s:clone_dmg_reduction}%-kal kevesebbet sebeznek."
		"dac_ability_arc_warden_tempest_double_Lore"							"A teremtés rejtelmeit hozza magával. - <i>Turath, a titokzatos próféta</i>"
		
		//ARC WARDEN
		"dac_ability_arc_warden_tempest_double_no_items"						"Viharmás"
		"dac_ability_arc_warden_tempest_double_no_items_Description"			"Arc Warden creates a copy of himself with the same health he currently has. Clones do {s:clone_dmg_reduction}% less damage, and gain {s:clone_mana_pct_loss_per}% less mana per clone (stacks multiplicatively). At 3 stars, the clone copies Arc Warden's item as well."
		"dac_ability_arc_warden_tempest_double_no_items_Lore"					"A teremtés rejtelmeit hozza magával. - <i>Turath, a titokzatos próféta</i>"

		//MIRANA
		"dac_ability_mirana_arrow"												"Szent nyíl"
		"dac_ability_mirana_arrow_Description"									"Mirana halálos pontossággal kilő egy nagy távolságra repülő nyilat, {s:duration} másodpercre megbénítva célpontját és {s:damage} sebzést okozva."
		"dac_ability_mirana_arrow_Lore"											"Sose bízz egy fanatikusban, Wren. Nem éri meg. - <i>Jull, baráti tanácsot adva</i>"
		
		//SLARK
		"dac_ability_slark_essence_shift"										"Esszenciacsere"
		"dac_ability_slark_essence_shift_description"							"PASSZÍV: Slark minden támadással {s:stolen_dmg} ponttal növeli sebzést és {s:stolen_aspd} ponttal támadási sebességét."
		"dac_ability_slark_essence_shift_lore"									"Slarknak alapvető szerepe van az árunk ki- és bejuttatásában Sötét Zátonyra. - <i>Jull, maffiózó</i>"

		"dac_ability_slark_pounce"												"Lerántás"
		"dac_ability_slark_pounce_description"									"PASSZÍV: egy ugrás után földet érve Slark {s:disarm_duration} másodpercre lefegyverzi a célpontját."
		"dac_ability_slark_pounce_lore"											"Hogy sikerült megint meglepnie minket?! - <i>Hobgen, a heves vérmérsékletű</i>"

		//BLACK DRAGON
		"dac_ability_black_dragon_splash_attack"								"Szétterülő támadás"
		"dac_ability_black_dragon_splash_attack_description"					"PASSIVE: Black Dragon's ranged attack deals {s:splash_damage_percent}% splash damage to units {s:splash_radius} cell away of the Dragon's target."
		"dac_ability_black_dragon_splash_attack_lore"							" "

		//"SVEN GREAT CLEAVE - used for YEAR BEAST and ROSHAN"
		"dac_ability_sven_great_cleave"											"Nagy suhintás"
		"dac_ability_sven_great_cleave_description"								"PASSZÍV: ennek az egységnek a közelharci támadásai minden közeli ellenséget eltalálnak."
		"dac_ability_sven_great_cleave_lore"									" "

		//"ROSHAN SPELL IMMUNE"
		"dac_ability_roshan_spell_immune"										"Varázsimmunis"
		"dac_ability_roshan_spell_immune_description"							"AKTÍV: Roshan {s:duration} másodpercre varázsimmunissá válik."
		"dac_ability_roshan_spell_immune_lore"									" "

		// Lone Druid Bear
		"dac_ability_lone_druid_spirit_bear_entangle"							"Béklyózó karmok"
		"dac_ability_lone_druid_spirit_bear_entangle_description"				"A Lélekmedve támadásainak esélye van megbéklyózással legyökereztetni és lefegyverezni a célpontot."
		"dac_ability_lone_druid_spirit_bear_entangle_lore"						" "

		// THUNDER LIZARD BLOODLUST
		"dac_ability_thunder_lizard_bloodlust"									"Vérszomj"
		"dac_ability_thunder_lizard_bloodlust_Description"						"A teremtmény dühöngésre késztet egy baráti egységet, {s:bonus_movement_speed}%-kal növelve mozgási, és {s:bonus_attack_speed}%-kal támadási sebességét. Ha magára varázsolja, a támadási sebességbónusz {s:self_bonus}% lesz."
		"dac_ability_thunder_lizard_bloodlust_Lore"								" "

		// HEALING WARD PLACEABLE
		"dac_ability_healing_ward_healing_aura"											"Gyógyító aura"
		"dac_ability_healing_ward_healing_aura_description"								"Másodpercenként {s:health_regen} ÉP-vel gyógyítja a baráti egységeket {s:heal_range} mezőn belül."
		"dac_ability_healing_ward_healing_aura_lore"									""

		// TOMBSTONE PLACEABLE
		"dac_ability_tombstone_raise_zombies"										"Zombiidézés"
		"dac_ability_tombstone_raise_zombies_description"							"A(z) {s:range} mezőn belül meghaló egységekből zombi születik."
		"dac_ability_tombstone_raise_zombies_lore"									""

		// BARRICADE PLACEABLE
		"dac_ability_barricade_aura"										"Barikád"
		"dac_ability_barricade_aura_description"							"Egy, a közeli egységeket védő barikád, ami varázsimmunis."
		"dac_ability_barricade_aura_rot1"										"Barricade"
		"dac_ability_barricade_aura_rot1_description"							"Barricade protects nearby units and is immune to spells."

		// TARGET DUMMY PLACEABLE
		"dac_ability_target_dummy_taunt"										"Gúnyolódás"
		"dac_ability_target_dummy_taunt_description"							"Célpont pajtás gúnyolódik."
		"dac_ability_target_dummy_taunt_lore"									""

		// CINDERWALL TALENT
		"dac_ability_cinderwall_aura"										"Zsarátnokfal"
		"dac_ability_cinderwall_aura_description"							"A zsarátnokfal védi a közeli baráti egységeket, és mágiaimmunis. A közeli ellenséges egységeket felgyújtja."
		"dac_ability_cinderwall_aura_lore"									""

		// FACELESS VOID
		"dac_ability_faceless_void_chronocube"										"Kronokocka"
		"dac_ability_faceless_void_chronocube_description"							"Egy hólyagot hoz létre a téridőben, a kocka közepétől számított {s:radius} mezőn belül {s:stun_duration} másodpercre megbénítva minden egységet. Arctalan Üresség a kockán belül nagyon gyorsan mozog és {s:bonus_attack_speed} támadási sebességet kap. Csak Arctalan Ürességre nem hat. Varázsláskor Arctalan Üresség megpróbálja az összes szövetséges orgyilkost kiteleportálni a kockából."
		"dac_ability_faceless_void_chronocube_lore"									"Claszureme be fog avatkozni. Ez problémát okozhat. - <i>Jull, felismerve, hogy az időnek nem tud behúzni egyet</i>"

		"dac_ability_faceless_void_time_walk"										"Időugrás"
		"dac_ability_faceless_void_time_walk_description"							"PASSZÍV: Arctalan Üresség a következő célpontjához siet, közben meggyógyítva az elmúlt 2 másodpercben kapott összes sebződést."
		"dac_ability_faceless_void_time_walk_lore"									"Én nem piszkálnám azokat az átkozott homokórákat, szerinted kell az nekem, hogy Pierpont itt szimatoljon? - <i>Hobgen, az észszerű mániákus</i>"

		// LEGION COMMANDER
		"dac_ability_legion_commander_duel"											"Párbaj"
		"dac_ability_legion_commander_duel_description"								"Legion Commander targets the lowest health enemy 1 cell away and they are forced to attack each other for {s:stun_duration}s. Neither hero can use abilities or be healed. If either hero dies during the duration, the hero winning the Duel gains permanent {s:winner_bonus_damage_kill_mult} bonus damage. (Damage varies by game mode.)"
		"dac_ability_legion_commander_duel_lore"									"Nem szükséges ez a hozzáállás, Tresdin... Segíthetek megtalálnod Rixet. - <i>Anessix, feszült helyzetben is higgadtan</i>"

		"dac_ability_legion_commander_will_of_the_bullsnake"						"A Bikakígyó akarata"
		"dac_ability_legion_commander_will_of_the_bullsnake_description"			"<i>A SÁRKÁNY SZÖVETSÉGGEL FELOLDVA.</i><br>PASSZÍV: amikor Légióparancsnok párbajt nyer, azonnal maximális életereje {s:heal_percentage}%-ával gyógyul."
		"dac_ability_legion_commander_will_of_the_bullsnake_lore"					"Ismerem a fajtáját, parancsnok; maga a legveszedelmesebb teremtmények egyike. Hívő. - <i>Wren, a világi dolgokban járatos</i>"

		"dac_ability_legion_commander_element"										"Elementáris roham"
		"dac_ability_legion_commander_element_description"							"PASSZÍV: Amikor Légióparancsnok Háromszögcsapást hajt végre a Lélek szövetség részeként, dupla sebzést okoz."
		"dac_ability_legion_commander_element_lore"									"A katonák többségét kísértik az elesettek lelkei... Ő viszont vezeti őket. - <i>Jull, jól ismerve a semmibe révedő tekintetet</i>"

		// NYX ASSASSIN
		"dac_ability_nyx_assassin_spiked_carapace"									"Tüskés kültakaró"
		"dac_ability_nyx_assassin_spiked_carapace_description"						"Nyx Orgyilkos tüskéket bocsát ki páncéljából, visszaverve és közömbösítve az okozott sebzés {s:damage_taken_reflect_percentage}%-át (forrásonként maximum egyszer), valamint {s:stun_duration} másodpercre megbénítva a sebzés forrását."
		"dac_ability_nyx_assassin_spiked_carapace_lore"								"A helyes megnevezés: ízeltlábú. - <i>Csöndes, a részletekre ügyelő</i>"

		"dac_ability_nyx_assassin_vendetta"											"Vérbosszú"
		"dac_ability_nyx_assassin_vendetta_description"								"PASSIVE: After teleporting to attack a unit, Nyx Assassin deals {s:bonus_damage} bonus damage on his next attack and applies Break to the enemy for {s:break_duration}s, disabling all passive effects. At 3 stars, Nyx Assassin also applies Vendetta after {s:hits_to_trigger} successive attacks. The counter is reset if Vendetta triggers due to teleporting."
		"dac_ability_nyx_assassin_vendetta_lore"									"Rovar, ízeltlábú... Kit érdekel, a lényeg, hogy meg kell ölnie nekem valakit, szóval... meg tudod szerezni, vagy nem? - <i>O'nia, aki nem kedveli, ha kijavítják</i>"

		// WEAVER
		"dac_ability_weaver_shukuchi"												"Sukucsi"
		"dac_ability_weaver_shukuchi_description"									"Takács láthatatlanná válik, célozhatatlan lesz, és gyorsan áthalad a legfeljebb {s:distance_cells} mezőre levő célpontokon. Takács {s:damage} sebzést okoz minden ellenségnek, melyen áthalad. Ezután {s:mana_break_duration} másodpercig Takács támadásai {s:mana_per_hit} manát égetnek el, és elégetett manánként {s:damage_per_burn} sebzést okoznak."
		"dac_ability_weaver_shukuchi_lore"											"Takács... Együtt újraszőjük a világot. - <i>Turath, aki elég bolond, hogy megtegye</i>"

		// BROODMOTHER
		"dac_ability_broodmother_spawn_spiderlings"									"Pókifjoncok szaporítása"
		"dac_ability_broodmother_spawn_spiderlings_description"						"Pókanya egy ellenséges egységbe juttatja ivadékait, {s:damage} sebzést okozva. Ha a célpont meghal, {s:num_spiderlings} pókifjonc kel ki. A pókifjoncok célozhatatlan egységek, amelyek kis sebzést okoznak és 1 életerejük van."
		"dac_ability_broodmother_spawn_spiderlings_lore"							"Jó, lehet, hogy elevenen égetek el embereket, de legalább nem petézek beléjük... - <i>Hobgen, köntörfalazva</i>"

		"dac_ability_broodmother_spin_web"											"Hálószövés"
		"dac_ability_broodmother_spin_web_description"								"Pókanya {s:radius} mező széles hálót sző egy ellenséges egységre. A hálóban levő ellenségek {s:debuff_attack_speed} támadási-, {s:debuff_speed}% mozgási- és {s:debuff_casting_speed}% varázslási sebességet veszítenek."
		"dac_ability_broodmother_spin_web_lore"										"Nem bérelhetném fel esetleg a porontyaidat, hogy fonjanak nekem egy kis selymet? Szinte biztos vagyok benne, hogy pókokra nem vonatkoznak a gyermekmunka-törvények. - <i>Carl, az etikus szabó</i>"

		// WISP
		"dac_ability_wisp_tether"													"Összefonódás"
		"dac_ability_wisp_tether_description"										"Ió összeköti magát a legközelebbi szövetséges hőssel, és feléje húzza magát. Ió és az összekötött hős {s:bonus_attack_speed} támadási sebességet és {s:damage_reduction}% sebződéscsökkentést kap. A kötelék megszakad, ha Ió {s:tether_break_distance} mezőnél messzebbre kerül."
		"dac_ability_wisp_tether_lore"												"<i>Enno, meredten Ióra bámulva</i>"

		"dac_ability_wisp_relocate"													"Áthelyeződés"
		"dac_ability_wisp_relocate_description"										"Io teleports away for {s:relocate_time_away} seconds to revive a dead hero. The two units return with full health and are purged of negative effects. At 3 stars, Io also resets that hero's cooldowns."
		"dac_ability_wisp_relocate_lore"											"<i>Ió, visszabámulva</i>"

		// BRISTLEBACK	
		"dac_ability_bristleback_quill_spray"										"Tüskezápor"
		"dac_ability_bristleback_quill_spray_description"							"Tüskéshátú tüskéket lövell ki a hátából, {s:radius} mezőn belül minden ellenséget sebezve. Az ellenségek {s:quill_base_damage} sebzést szenvednek, valamint további {s:quill_stack_damage} sebzést minden alkalom után, ahányszor Tüskezápor találta el őket ebben a körben, maximum {s:max_stacks} alkalomig."
		"dac_ability_bristleback_quill_spray_lore"									"Hadd tegyek valamit fájdalmasan világossá. Te és Agyaras ma éjjel nem veritek szét a kocsmámat. - <i>Jull, kidobó</i>"

		// LIFESTEALER
		"dac_ability_life_stealer_feast"											"Lakmározás"
		"dac_ability_life_stealer_feast_description"								"PASSZÍV: Életlopó támadásai sebzik az ellenséget, őt pedig célpontja maximális életerejének {s:lifesteal_percentage}%-ával gyógyítják."
		"dac_ability_life_stealer_feast_lore"										"Nem tetszik az a feltételezésed, hogy az állapotom okán nyilván tudomásom kell legyen Életlopó hollétéről. - <i>Carl, a gyakran félreismert</i>"

		// DAZZLE
		"dac_ability_dazzle_shadow_wave"											"Árnyhullám"
		"dac_ability_dazzle_shadow_wave_description"								"Káprázat energiakisülést bocsát ki, ami átível legfeljebb {s:max_targets}, egymástól {s:bounce_radius} mezőn belüli szövetséges között, {s:damage} ponttal gyógyítva mindegyiküket, és közben {s:damage} ponttal sebezve bármilyen {s:damage_radius} mezőn belüli ellenséges egységet. Az Árnyhullám Káprázatot mindig gyógyítja."
		"dac_ability_dazzle_shadow_wave_lore"										"És mennyiért állnál az alkalmazásomba? Erős érdekem fűződik az életben maradásomhoz. - <i>O'nia, árnyékra vetődve</i>"

		// STORM SPIRIT
		"dac_ability_storm_spirit_ball_lightning"									"Gömbvillám"
		"dac_ability_storm_spirit_ball_lightning_description"						"Viharlélek illékony elektromossággá változik, keresztülhasítva a csatatéren és {s:damage} sebzést okozva minden egységnek, amelyen áthalad, plusz {s:damage_per_cell} sebzést minden megtett mező után."
		"dac_ability_storm_spirit_ball_lightning_lore"								"Az egoistát a szíve motiválja, nem az esze. Ezért őt a legkönnyebb csapdába ejteni. - <i>Turath, csapdát állítva</i>"

		"dac_ability_storm_spirit_element"											"Viharelementál"
		"dac_ability_storm_spirit_element_description"								"PASSZÍV: Amikor Viharlélek Háromszögcsapást hajt végre, 3 másodpercre lefegyverzi a hatás alá került ellenséges egységeket."
		"dac_ability_storm_spirit_element_lore"										"Csöndes miatt nem kell aggódnunk, dehogy akar ő a vihar közelében lenni. - <i>Anessix, minden szempontot figyelembe véve</i>"

		// EMBER SPIRIT
		"dac_ability_ember_spirit_sleight_of_fist"									"Öklössorozat"
		"dac_ability_ember_spirit_sleight_of_fist_description"						"Parázslélek tüzesen ide-oda cikázik, minden ellenséget megtámadva {s:cells} mezőn belül, majd visszatér kiindulási helyére. A támadások {s:bonus_damage} többletsebzést okoznak."
		"dac_ability_ember_spirit_sleight_of_fist_lore"								"Lehet, hogy úgy harcol, akár egy démon, de becsületes teremtmény. Megbízom az adott szavában. - <i>Jull, a becsületes betyár</i>"

		"dac_ability_ember_spirit_element"											"Tűzelementál"
		"dac_ability_ember_spirit_element_description"								"PASSZÍV: Amikor Parázslélek Háromszögcsapást hajt végre, 3 másodpercre felgyújtja a hatás alá került ellenséges egységeket."
		"dac_ability_ember_spirit_element_lore"										"Akarom, hogy nekem dolgozzon ez a fickó. - <i>Hobgen, felismerve a rokon lelket</i>"

		// EARTH SPIRIT
		"dac_ability_earth_spirit_geomagnetic_grip"									"Geomágneses vonzás"
